,STATE,COUNT,NAMEL,ALAND,AWATE,dc_id,P0130,H0100,P0030,P01202,H0180,H0040,P0040,H0020,P008004,P008005,P01200,P01204,c_0_5_1,c_0_5_3,c_1_5_1_2,c_1_5_1__,c_1_5_3_3,c_1_5_3_4,c_1_1_25_3,c_1_1_25_4,c_1_1_25_5,c_1_2_125,c_1_2_12_,c_1_3_3,c_1_3_4,c_1_3_5,Resilnc,FaildRt,LandUse,Community
63,12,57,Census Tract 14,2352954,84840,64,31.53,62,1.3,30,2.7,4.8,32.9,23.5,8.4,0.2,4.1,7,1.8,2,2.7,2.6,2.3,2.7,2,2.3,3.1,2.2,3.7,2.2,2.7,2.8,1,0,Industrial,1
64,12,57,Census Tract 15,1465648,85702,65,43.3,112.75,1.75,58.75,3.25,12.5,22.5,53.25,7.5,0.25,3.75,11,1.5,1.25,3,2.75,2.25,2.25,2.5,3,2.75,1.5,4,2,2.5,3.25,1,0,Institutional,1
65,12,57,Census Tract 17,2617741,6202,66,37.3826087,36.43478261,0.826086957,18,1.043478261,5.826086957,6.47826087,17.52173913,9.652173913,0.434782609,2.347826087,2.826086957,1.869565217,1.565217391,2.217391304,1.956521739,2.173913043,2.217391304,1.869565217,2.47826087,2.695652174,1.869565217,3.130434783,1.913043478,2.304347826,2.652173913,0.961436801,0,Residential,1
66,12,57,Census Tract 19,1961338,3763,67,3.722222222,6,0,2.888888889,0.333333333,0.333333333,0.666666667,2,5.555555556,0,0.555555556,1.222222222,1.666666667,1.333333333,2,1.444444444,1.666666667,2,1.666666667,1.888888889,2,1.777777778,2.333333333,1.555555556,1.888888889,1.777777778,0.964519027,0,Residential,1
67,12,57,Census Tract 21,1300150,0,68,34.02857143,30.57142857,0.714285714,15.71428571,1.214285714,6.428571429,9.857142857,13.71428571,14.64285714,0.5,2.571428571,4.357142857,1.571428571,1.642857143,2.571428571,2.071428571,2,2.785714286,2.214285714,3.214285714,2.357142857,1.642857143,3.214285714,1.857142857,2.785714286,3,0.921101706,0,Industrial,1
68,12,57,Census Tract 22,1312975,0,69,27.6875,5.875,0,2.5,0.125,1,0.875,3.375,0.625,0,0.125,0.125,1.5,1.625,2.5,1.5,2.25,2.875,1.875,2.875,2.125,2.375,3.25,2,2.5,2.75,1,0,Industrial,1
69,12,57,Census Tract 23,1490348,66323,70,33.65,46,0,22,0.5,8.5,12.5,20.5,8,0,4.5,5.5,2.5,2.5,2.5,3,2,3,2,3,3,2.5,3,2.5,2.5,3,1,0,Industrial,3
70,12,57,Census Tract 25,2568676,107626,71,30.63333333,100.5555556,0.333333333,52.44444444,1.111111111,32.88888889,77.88888889,41.44444444,12.66666667,5.111111111,10.22222222,13.66666667,1.888888889,1.666666667,2.777777778,2,2.111111111,2.222222222,1.888888889,2.444444444,2.888888889,2.444444444,3,2.111111111,2.888888889,3.222222222,0.945606653,0,Industrial,1
71,12,57,Census Tract 27,3485641,102393,72,33.28888889,31.66666667,1.555555556,15.88888889,0.555555556,3.777777778,26.33333333,11.88888889,1.555555556,0.111111111,1.444444444,6.888888889,2,1.777777778,2.666666667,2,2.111111111,2.111111111,2.222222222,2,2,1.777777778,2.111111111,1.888888889,2.555555556,2.333333333,0.650300338,0,Industrial,1
72,12,57,Census Tract 28,1699269,104282,73,44.5,47,0,23,3,9,21,25,9,3,2,5,1,1,2,2,2,2,3,4,3,1,4,1,4,1,1,0,Residential,1
